unit;origin;destination;flights;persons;CO2
53;CGN;MUC;4;2;952
53;CGN;DRS;2;1;298
56;CGN;TXL;2;1;248
56;CGN;VIE;1;2;484
56;VIE;DUS;1;2;450
57;CGN;MUC;2;1;238
57;CGN;TXL;1;1;124
61;CGN;MUC;2;1;238
61;CGN;TXL;2;2;496
64;CGN;TXL;6;1;744
64;CGN;MUC;4;1;476
64;CGN;ZRH;2;1;242
66;CGN;TXL;2;1;248
66;CGN;MUC;2;1;238
66;CGN;LEJ;2;1;224
66;CGN;LEJ;2;2;448
67;FRA:;KTW;2;1;542
69;CGN;MUC;2;2;476
69;CGN;VIE;2;1;484
69;CGN;TXL;2;1;248
80;CGN;CEQ;2;2;1012
80;CGN;KLU;2;1;352
80;CGN;PEK;4;1;9740
80;CGN;SAW;4;1;4012
81;CGN;TXL;2;10;2480
81;CGN;TXL;2;4;992
81;CGN;LHR;2;1;322
81;CGN;VIE;2;1;484
81;CGN;SVO;2;1;1142
81;CGN;BCN;2;4;2728
81;DUS;SVO;2;1;1136
81;DUS;LAS;2;1;5634
81;DUS;PEK;2;1;4864
81;DUS;DXB;2;1;2870
81;FRA:;INN;2;1;106
81;CGN;TXL;1;1;124
81;CGN > BCN > AMS > TXL;TXL;1;1;905
81;DUS > AMS > IAH > AMS > DUS;DUS;2;1;5814
81;DUS > ATL > LAX > SLC > CDG > DUS;DUS;1;1;5075
81;FRA > DOH > BAH > FRA:;FRA:;1;1;2773
1000;CGN;TXL;2;2;496
1100;CGN;TXL;2;2;496
1100;CGN;HAM;4;1;404
1100;CGN;MUC;4;1;476
1100;FRA:;TRN;2;1;366
1100;FRA:;LIS;2;1;924
1100;DUS;MAD;2;1;806
1100;FRA:;CPH;1;1;209
1100;GOT;FRA:;1;1;292
1100;TXL;CGN;1;1;124
1100;VIE;CGN;1;2;484
1100;CGN > VIE > MUC > CGN;CGN;1;1;469
4101;CGN;CLJ;2;1;760
4511;CGN;SAW;2;1;2006
4511;FRA;JFK;2;1;3552
4511;CGN;LHR;2;1;322
4511;CGN;MAD;2;1;806
4513;CGN;HAM;2;1;202
4513;CGN;TXL;1;1;124
4513;CGN;DRS;1;1;149
4513;TXL > LHR > CGN;CGN;1;1;424
4513;CDG > TXL > CGN;CGN;1;1;357
4514;CGN;LHR;2;1;322
4515;CGN;HND;4;1;12176
4516;CGN;LHR;2;1;322
4516;CGN;TXL;2;1;248
4518;CGN;SZG;2;3;804
4520;CGN;TLV;2;1;1302
4522;CGN;EDI;2;1;558
4523;CGN;FLR;2;2;1048
5000;CGN;TXL;2;1;248
5110;CGN;TXL;2;1;248
